V,I,Temp,V_avg,I_avg,Y
0.82548,0.74689,0.014143,0.81017,0.73616,0.83496
0.82357,0.76575,0.014143,0.80571,0.73313,0.83238
0.54536,0.51477,0.014143,0.80554,0.73356,0.83119
0.67379,0.68467,0.019809,0.79921,0.72874,0.82445
0.55287,0.57932,0.025475,0.78901,0.72254,0.81878
0.62037,0.64344,0.025475,0.78804,0.72203,0.81816
0.59962,0.62446,0.028308,0.77284,0.71488,0.80766
0.80314,0.74686,0.028308,0.76967,0.71811,0.80971
0.62884,0.61066,0.031141,0.76745,0.71699,0.80693
0.69668,0.68626,0.031141,0.76423,0.715,0.80489
0.83031,0.7736,0.031141,0.76162,0.71588,0.80573
0.79577,0.74678,0.028308,0.75949,0.71621,0.80387
0.72542,0.72198,0.028308,0.75241,0.71179,0.79883
0.797,0.74683,0.028308,0.74961,0.71331,0.79933
0.75627,0.72929,0.028308,0.74684,0.71267,0.79666
0.78361,0.7542,0.025475,0.74548,0.71196,0.7963
0.7946,0.74682,0.025475,0.74647,0.71384,0.79744
0.8956,0.84486,0.025475,0.74721,0.71636,0.79471
0.72118,0.68469,0.025475,0.74323,0.71467,0.79462
0.66373,0.63824,0.022642,0.74223,0.71406,0.79394
0.70654,0.69484,0.016976,0.75846,0.72807,0.78901
0.87545,0.83306,0.019809,0.76057,0.72947,0.78921
0.80339,0.75399,0.022642,0.76351,0.73155,0.79025
0.74646,0.72611,0.022642,0.76664,0.73294,0.78654
0.7434,0.72823,0.022642,0.76242,0.72931,0.78408
0.70903,0.69601,0.016976,0.75664,0.72808,0.77856
0.68642,0.68011,0.014143,0.76069,0.73217,0.77774
0.78569,0.75939,0.016976,0.76079,0.73246,0.77654
0.77957,0.74684,0.016976,0.76001,0.73276,0.77618
0.86168,0.82214,0.016976,0.75648,0.73113,0.77403
0.78086,0.74805,0.014143,0.75736,0.73212,0.77417
0.66754,0.65345,0.014143,0.75722,0.73202,0.77365
0.77867,0.74685,0.016976,0.75273,0.73075,0.77089
0.77663,0.74689,0.016976,0.75246,0.73078,0.7708
0.77644,0.74667,0.016976,0.75246,0.73081,0.7708
0.77878,0.75886,0.016976,0.75046,0.73031,0.7684
0.77866,0.74731,0.016976,0.75347,0.73294,0.7692
0.75987,0.73309,0.014143,0.75259,0.73206,0.76897
0.73187,0.73162,0.014143,0.7512,0.73199,0.76469
0.67227,0.6657,0.014143,0.75366,0.73374,0.76535
0.80138,0.77699,0.014143,0.75467,0.73491,0.76444
0.77417,0.74678,0.014143,0.75699,0.73653,0.76482
0.77428,0.74689,0.01131,0.757,0.7365,0.7648
0.64512,0.63994,0.01131,0.75679,0.73625,0.76416
0.84074,0.81409,0.01131,0.75571,0.73567,0.76254
0.75514,0.75335,0.016976,0.7512,0.73327,0.75837
0.76736,0.74678,0.014143,0.75215,0.73481,0.75836
0.59208,0.60072,0.01131,0.74918,0.73356,0.75546
0.43613,0.50798,0.022642,0.7328,0.72228,0.74234
0.69628,0.76348,0.031141,0.71384,0.7132,0.7298
0.74778,0.8028,0.031141,0.71362,0.71353,0.73012
0.67002,0.7117,0.025475,0.70412,0.71281,0.72671
0.85245,0.87553,0.028308,0.70313,0.71339,0.72717
0.748,0.75176,0.028308,0.70412,0.715,0.72866
0.74012,0.74671,0.028308,0.70455,0.71565,0.72862
0.6638,0.67471,0.028308,0.70486,0.71601,0.72836
0.73753,0.74675,0.028308,0.7031,0.71603,0.72676
0.49364,0.52062,0.025475,0.69942,0.71372,0.72492
0.68202,0.69866,0.028308,0.69082,0.71193,0.72149
0.68601,0.72039,0.022642,0.6826,0.7118,0.71488
0.65556,0.68395,0.019809,0.69168,0.72091,0.71439
0.61725,0.65094,0.019809,0.70018,0.72693,0.71325
0.6502,0.67054,0.019809,0.70712,0.73127,0.71244
0.71037,0.74706,0.022642,0.70913,0.73233,0.70931
0.74254,0.7736,0.022642,0.70298,0.72695,0.70616
0.71466,0.73508,0.022642,0.70342,0.72768,0.70693
0.67038,0.71121,0.019809,0.70271,0.72772,0.70513
0.68975,0.72685,0.014143,0.70138,0.72728,0.7024
0.69356,0.72972,0.016976,0.70076,0.7277,0.70099
0.65357,0.69495,0.014143,0.70048,0.72754,0.7008
0.81684,0.83009,0.014143,0.70146,0.72908,0.70148
0.71355,0.74922,0.014143,0.70346,0.73075,0.69826
0.8407,0.86316,0.014143,0.70112,0.72952,0.69781
0.72474,0.74667,0.014143,0.7036,0.73184,0.69846
0.83021,0.84906,0.016976,0.70076,0.73052,0.69603
0.69079,0.73544,0.019809,0.6986,0.72928,0.69365
0.655,0.70438,0.019809,0.69742,0.72869,0.69292
0.72333,0.74678,0.014143,0.70006,0.73198,0.69383
0.69402,0.73299,0.016976,0.69529,0.7293,0.69052
0.69761,0.73154,0.014143,0.69692,0.73107,0.69066
0.55429,0.60369,0.016976,0.69651,0.73091,0.68994
0.71941,0.74624,0.014143,0.70029,0.73447,0.68807
0.63803,0.68805,0.016976,0.69865,0.73319,0.68655
0.72004,0.74667,0.016976,0.70104,0.73529,0.6869
0.72004,0.74671,0.019809,0.70233,0.73619,0.68679
0.58871,0.6354,0.019809,0.70223,0.73594,0.68603
0.72535,0.76347,0.019809,0.70137,0.73532,0.68489
0.77051,0.81633,0.014143,0.70073,0.73498,0.68414
0.60909,0.67386,0.014143,0.69739,0.73356,0.67906
0.71264,0.74678,0.016976,0.69939,0.73561,0.68039
0.71276,0.74678,0.014143,0.69932,0.73549,0.68028
0.71056,0.76325,0.016976,0.69509,0.73257,0.67766
0.5775,0.66735,0.028308,0.66755,0.71743,0.65512
0.74544,0.86575,0.033973,0.65791,0.71455,0.65088
0.76568,0.86231,0.036806,0.65707,0.71492,0.65237
0.57756,0.63976,0.031141,0.65787,0.71734,0.6533
0.70193,0.79593,0.028308,0.64805,0.71194,0.64722
0.68012,0.74667,0.028308,0.64911,0.71649,0.64775
0.67977,0.74678,0.028308,0.64867,0.71618,0.64771
0.68024,0.74667,0.028308,0.64669,0.715,0.64763
0.61414,0.71243,0.028308,0.63848,0.71114,0.64125
0.67218,0.73807,0.028308,0.6339,0.71395,0.64075
0.67977,0.74667,0.022642,0.63025,0.71406,0.63828
0.56662,0.65878,0.019809,0.62712,0.71239,0.63635
0.74072,0.8008,0.019809,0.63846,0.72434,0.63506
0.74259,0.81061,0.016976,0.64748,0.73049,0.63285
0.70143,0.76216,0.016976,0.64893,0.73148,0.63332
0.6376,0.72723,0.019809,0.65206,0.73281,0.62959
0.51932,0.62731,0.019809,0.65195,0.73233,0.62829
0.67692,0.76406,0.019809,0.64574,0.72743,0.62656
0.62011,0.71554,0.019809,0.64497,0.72791,0.623
0.651,0.74565,0.019809,0.64558,0.72949,0.62232
0.63964,0.73163,0.016976,0.64337,0.72781,0.62129
0.65219,0.75355,0.016976,0.64293,0.72762,0.62099
0.58985,0.69081,0.014143,0.64234,0.7273,0.62071
0.77928,0.85857,0.019809,0.6438,0.7297,0.61809
0.66721,0.74657,0.016708,0.64595,0.73141,0.61849
0.6945,0.78027,0.016976,0.6427,0.72989,0.61572
0.6707,0.75134,0.014143,0.64353,0.73076,0.61647
0.66392,0.74745,0.014143,0.64347,0.73076,0.6164
0.69415,0.76799,0.016976,0.64041,0.73012,0.61403
0.64753,0.74392,0.014143,0.63758,0.72911,0.61062
0.62989,0.72317,0.016976,0.63898,0.73085,0.61074
0.67788,0.76084,0.016976,0.63895,0.73094,0.61077
0.56401,0.68149,0.014143,0.63819,0.73106,0.60701
0.7421,0.81957,0.014143,0.6412,0.73398,0.60798
0.75908,0.85536,0.014143,0.64334,0.73541,0.60487
0.53495,0.66127,0.016976,0.63892,0.73226,0.601
0.64287,0.75394,0.014143,0.63832,0.73261,0.59991
0.653,0.74666,0.016976,0.64003,0.73464,0.59996
0.59682,0.70685,0.014143,0.63586,0.73193,0.59726
0.39992,0.59263,0.025475,0.61345,0.71807,0.5792
0.51856,0.70598,0.028308,0.6087,0.71694,0.57514
0.65681,0.81531,0.031141,0.59642,0.71316,0.56946
0.69463,0.84693,0.031141,0.59647,0.7135,0.57007
0.66657,0.79656,0.031141,0.5957,0.71456,0.57218
0.6193,0.74657,0.031141,0.59652,0.71665,0.57267
0.49159,0.64738,0.033973,0.59441,0.71515,0.57075
0.41047,0.55197,0.028308,0.58103,0.71222,0.56523
0.54545,0.71132,0.031141,0.57418,0.70916,0.56002
0.54545,0.71132,0.031141,0.57408,0.70929,0.55984
0.56483,0.73111,0.031141,0.57392,0.70935,0.55967
0.51509,0.68051,0.031141,0.57329,0.70907,0.55938
0.50476,0.65223,0.031141,0.56914,0.70927,0.56028
0.57591,0.7277,0.028308,0.56626,0.70882,0.55804
0.73032,0.87503,0.025475,0.56719,0.71015,0.55853
0.56213,0.69838,0.022642,0.5677,0.71195,0.55912
0.65091,0.78241,0.022642,0.56576,0.71303,0.55674
0.61109,0.74646,0.025475,0.56249,0.71202,0.55656
0.54055,0.70429,0.022642,0.55852,0.7098,0.55398
0.6112,0.74648,0.022642,0.56025,0.71311,0.55483
0.61825,0.77388,0.019809,0.5768,0.72693,0.54989
0.68143,0.81745,0.019809,0.57933,0.72897,0.55104
0.58259,0.74584,0.019809,0.57758,0.72615,0.54462
0.59054,0.73458,0.019809,0.57705,0.72635,0.54534
0.53264,0.6923,0.019809,0.57621,0.7258,0.54473
0.5084,0.67918,0.019809,0.57542,0.72539,0.54385
0.60549,0.76096,0.019809,0.57858,0.72894,0.54297
0.53449,0.69801,0.019809,0.57851,0.72885,0.54276
0.5612,0.73035,0.016976,0.57851,0.72897,0.54143
0.62457,0.78438,0.016976,0.57659,0.72856,0.54016
0.5449,0.71263,0.016976,0.57427,0.72657,0.53932
0.72322,0.87371,0.016976,0.57327,0.72692,0.53897
0.52282,0.67703,0.016976,0.57786,0.73125,0.53962
0.60434,0.76003,0.016976,0.5774,0.73095,0.53667
0.5201,0.68616,0.016976,0.5773,0.73084,0.5365
0.54088,0.71336,0.016976,0.57394,0.7279,0.53558
0.59235,0.75473,0.016976,0.57306,0.72772,0.53532
0.63171,0.78993,0.014143,0.57323,0.72804,0.53539
0.48523,0.66756,0.016976,0.57221,0.72794,0.53365
0.51915,0.70189,0.016976,0.57174,0.72767,0.53329
0.54899,0.72479,0.014143,0.56885,0.7274,0.53044
0.55378,0.70938,0.014143,0.57196,0.73113,0.53137
0.50101,0.66392,0.019809,0.56885,0.72944,0.5302
0.59359,0.74654,0.016976,0.5703,0.7319,0.52868
0.59288,0.74604,0.014143,0.57025,0.73183,0.52864
0.47212,0.6587,0.016976,0.56728,0.73029,0.52448
0.58887,0.75463,0.016976,0.57014,0.73305,0.52335
0.60122,0.75421,0.016976,0.5714,0.73408,0.52415
0.59077,0.74657,0.016976,0.57247,0.73495,0.52405
0.50224,0.68573,0.01131,0.57181,0.73413,0.52205
0.56235,0.72505,0.01131,0.57239,0.73476,0.52236
0.528,0.71901,0.014143,0.56644,0.73075,0.51739
0.58217,0.74648,0.016401,0.56955,0.73459,0.51712
0.52464,0.71233,0.014143,0.56422,0.73094,0.51404
0.31935,0.568,0.022642,0.55051,0.72185,0.5019
0.37177,0.64185,0.031141,0.54085,0.71649,0.49488
0.65256,0.87546,0.031141,0.51322,0.7096,0.48239
0.4716,0.66881,0.031141,0.51495,0.71265,0.48405
0.54839,0.74639,0.031141,0.51134,0.71192,0.48212
0.54759,0.74644,0.031141,0.49981,0.7086,0.47693
0.50622,0.72707,0.028308,0.49697,0.70795,0.47411
0.54697,0.74636,0.031141,0.49653,0.70966,0.4748
0.54697,0.74636,0.031141,0.49699,0.7103,0.47473
0.53312,0.74074,0.025475,0.49642,0.71083,0.47319
0.46046,0.6746,0.025475,0.4962,0.71094,0.47256
0.51081,0.72569,0.025475,0.49586,0.71073,0.47229
0.46924,0.68,0.019809,0.49148,0.7098,0.47128
0.54803,0.74636,0.022642,0.49063,0.71131,0.47018
0.43196,0.64693,0.022642,0.5062,0.72426,0.46786
0.49325,0.72187,0.019809,0.50826,0.72533,0.46517
0.548,0.74583,0.022642,0.51354,0.72896,0.46672
0.36569,0.61245,0.016976,0.51645,0.72924,0.46096
0.54178,0.76088,0.019809,0.51287,0.72809,0.45797
0.56415,0.78557,0.014143,0.51132,0.72777,0.45508
0.48464,0.71392,0.016976,0.51082,0.72718,0.45471
0.53606,0.74636,0.014143,0.51289,0.73076,0.451
0.55115,0.76194,0.014143,0.50977,0.72942,0.44873
0.51753,0.73003,0.014143,0.51066,0.73023,0.44874
0.49837,0.73237,0.019809,0.50527,0.72659,0.44491
0.52473,0.75452,0.019809,0.50495,0.72654,0.44479
0.51434,0.73533,0.01131,0.50615,0.72886,0.44437
0.45347,0.6763,0.016976,0.50568,0.72935,0.44257
0.46925,0.70502,0.016976,0.50613,0.73019,0.43973
0.53183,0.74646,0.014143,0.50949,0.73297,0.43991
0.53336,0.74646,0.019809,0.51239,0.7348,0.43834
0.57552,0.79056,0.016976,0.51156,0.73402,0.43593
0.40878,0.65594,0.014143,0.5107,0.73324,0.43461
0.43931,0.69569,0.01131,0.50702,0.73147,0.42953
0.56174,0.77683,0.01131,0.50877,0.73321,0.43142
0.52742,0.74646,0.0084771,0.50886,0.73326,0.43144
0.52714,0.7464,0.014143,0.50845,0.73283,0.43107
0.53175,0.77466,0.019809,0.50426,0.72999,0.4277
0.14671,0.45718,0.019809,0.50116,0.72775,0.42209
0.19427,0.52995,0.028308,0.48828,0.71978,0.41424
0.22357,0.57871,0.031141,0.47999,0.71551,0.40876
0.26458,0.5963,0.031141,0.47521,0.71466,0.40547
0.33414,0.66105,0.033973,0.46162,0.70848,0.399
0.48963,0.76111,0.036806,0.45846,0.71044,0.40004
0.58929,0.87546,0.031141,0.44854,0.70778,0.39505
0.49285,0.74635,0.033973,0.44944,0.71198,0.39502
0.49496,0.74626,0.033973,0.44693,0.71039,0.39489
0.36619,0.6763,0.033973,0.44022,0.70576,0.38964
0.58187,0.83444,0.031141,0.43243,0.70755,0.38714
0.42753,0.69389,0.025475,0.43258,0.70935,0.38518
0.6089,0.87546,0.025475,0.43181,0.70942,0.38345
0.49618,0.74629,0.025475,0.4306,0.70882,0.38465
0.4979,0.7464,0.025475,0.42974,0.70882,0.38449
0.35254,0.62298,0.025475,0.42788,0.7078,0.38329
0.58296,0.84457,0.022642,0.42593,0.70758,0.38133
0.59583,0.85299,0.022642,0.4265,0.70815,0.38155
0.49884,0.74646,0.019809,0.42786,0.70961,0.3826
0.40732,0.67683,0.019809,0.43603,0.71663,0.38097
0.40085,0.68747,0.019809,0.44876,0.7241,0.37772
0.426,0.72198,0.019809,0.45821,0.72623,0.37218
0.45039,0.74257,0.019809,0.458,0.72605,0.37215
0.43872,0.72579,0.019809,0.45713,0.72538,0.37204
0.50899,0.78046,0.019809,0.45733,0.72717,0.37014
0.45091,0.733,0.019809,0.45552,0.72627,0.36719
0.48072,0.7613,0.016976,0.45805,0.72914,0.36314
0.448,0.7295,0.016976,0.45708,0.728,0.36288
0.60778,0.86465,0.016976,0.45531,0.72727,0.36268
0.48628,0.74626,0.019809,0.45903,0.73021,0.36298
0.48651,0.74635,0.019809,0.4589,0.73005,0.36296
0.52041,0.78812,0.016976,0.45452,0.72743,0.35989
0.3969,0.69253,0.014143,0.45216,0.7263,0.35724
0.56473,0.81631,0.014143,0.45224,0.72751,0.35795
0.53168,0.78716,0.019809,0.45224,0.72782,0.35695
0.48463,0.74628,0.022642,0.45214,0.72785,0.35694
0.47074,0.74932,0.022642,0.4516,0.72803,0.35464
0.48592,0.74625,0.015804,0.454,0.73065,0.35503
0.39759,0.67445,0.01131,0.4518,0.72873,0.3543
0.51401,0.77254,0.014143,0.45537,0.73234,0.35169
0.48228,0.74625,0.014143,0.45569,0.73247,0.35167
0.48228,0.7463,0.016976,0.45644,0.73261,0.35151
0.48287,0.74636,0.016976,0.45656,0.73258,0.35146
0.49079,0.76565,0.01131,0.45855,0.73322,0.34792
0.41821,0.71191,0.016976,0.45755,0.73246,0.34569
0.46006,0.74816,0.016976,0.4572,0.73229,0.34511
0.47693,0.7612,0.016976,0.45733,0.73242,0.34513
0.46602,0.7612,0.019809,0.45372,0.73041,0.34269
0.47348,0.74627,0.019809,0.45579,0.73274,0.34286
0.47278,0.74627,0.019809,0.45675,0.73345,0.34277
0.60339,0.87546,0.014143,0.45122,0.73001,0.33972
0.28726,0.67502,0.022642,0.43911,0.72241,0.329
0.15811,0.56638,0.025475,0.43679,0.7212,0.32777
0.15647,0.57444,0.025475,0.43485,0.72017,0.3266
0.20582,0.6552,0.042472,0.41816,0.7133,0.31681
0.11017,0.55246,0.045305,0.40786,0.7104,0.312
0.26466,0.6806,0.050971,0.39562,0.70605,0.30803
0.40057,0.80036,0.050971,0.39415,0.70631,0.30769
0.43097,0.74614,0.045305,0.39423,0.71125,0.31187
0.43121,0.74614,0.045305,0.39416,0.71135,0.31185
0.31614,0.64052,0.045305,0.39422,0.71198,0.31132
0.5376,0.87546,0.039639,0.38122,0.70659,0.30541
0.27414,0.60925,0.036806,0.37647,0.70804,0.30383
0.16964,0.51165,0.036806,0.37533,0.7072,0.30294
0.16913,0.58199,0.036806,0.37127,0.70456,0.2998
0.31802,0.69173,0.039639,0.36582,0.70399,0.29686
0.42851,0.7462,0.039639,0.36325,0.70515,0.2989
0.36787,0.71999,0.039639,0.35925,0.70421,0.29597
0.49573,0.80418,0.039639,0.35868,0.70595,0.29653
0.35355,0.7126,0.036806,0.35764,0.70651,0.2953
0.37645,0.71269,0.036806,0.35739,0.70651,0.29513
0.38906,0.72505,0.028308,0.35703,0.7076,0.29335
0.43203,0.74622,0.022642,0.35482,0.70718,0.29368
0.24985,0.61339,0.022642,0.35108,0.70572,0.29193
0.46184,0.76606,0.022642,0.35138,0.70827,0.29162
0.42926,0.73884,0.025475,0.36957,0.72172,0.29003
0.32591,0.69065,0.022642,0.37382,0.72297,0.28654
0.29753,0.66021,0.025475,0.38361,0.72724,0.28661
0.40698,0.75102,0.025475,0.39023,0.7295,0.28326
0.41814,0.75102,0.025475,0.38909,0.72734,0.28326
0.42096,0.75102,0.028308,0.38827,0.72644,0.28326
0.42671,0.75102,0.022642,0.38727,0.72567,0.28326
0.43375,0.75102,0.022642,0.39125,0.72919,0.28326
0.43669,0.75102,0.019809,0.39444,0.73108,0.28326
0.44057,0.75102,0.016976,0.39695,0.73164,0.28326
0.44115,0.75102,0.014143,0.39634,0.7309,0.28326
0.44303,0.75102,0.014143,0.39562,0.73005,0.28326
0.44679,0.75102,0.01131,0.40085,0.73351,0.28326
0.45348,0.75102,0.01131,0.40903,0.73786,0.28326
0.45712,0.75102,0.014143,0.41304,0.73735,0.28326
0.45877,0.75102,0.014143,0.41442,0.73784,0.28326
0.46346,0.75102,0.01131,0.42271,0.74058,0.28326
0.46557,0.75102,0.01131,0.42778,0.74216,0.28326
0.46605,0.75102,0.0084771,0.42783,0.74171,0.28326
0.46675,0.75102,0.0084771,0.42871,0.74183,0.28326
0.46793,0.75102,0.0056441,0.43452,0.74486,0.28326
0.46816,0.75102,0.0028112,0.43522,0.74484,0.28326
0.4711,0.75102,0.0084771,0.44645,0.74755,0.28326
0.47156,0.75102,0.0084771,0.44823,0.74808,0.28326
0.47321,0.75102,0.0084771,0.46066,0.75102,0.28326
0.47344,0.75102,0.0084771,0.46134,0.75102,0.28326
0.47367,0.75102,0.0084771,0.46222,0.75102,0.28326
0.60752,0.87546,0.93361,0.47763,0.76145,0.30797
0.60939,0.87546,0.93428,0.47984,0.76319,0.30995
0.60992,0.87546,0.93448,0.48047,0.76369,0.31051
0.62238,0.87546,0.93731,0.49825,0.77735,0.32608
0.62652,0.87546,0.93768,0.50555,0.78281,0.3323
0.63211,0.87546,0.93768,0.51665,0.79101,0.34164
0.63228,0.87546,0.93768,0.51699,0.79126,0.34192
0.63787,0.87546,0.93768,0.52935,0.8002,0.35211
0.64237,0.87546,0.93768,0.53982,0.80765,0.3606
0.64313,0.87546,0.93775,0.54158,0.80889,0.36201
0.64423,0.87546,0.93809,0.54406,0.81063,0.364
0.6458,0.87546,0.93857,0.54761,0.81311,0.36682
0.64754,0.87546,0.9391,0.55155,0.81585,0.36994
0.64895,0.87546,0.93953,0.55479,0.81808,0.37248
0.65312,0.87546,0.94051,0.56426,0.82454,0.37984
0.66125,0.87546,0.94051,0.58221,0.83646,0.39343
0.66473,0.87546,0.94051,0.58988,0.84143,0.39908
0.6728,0.87546,0.9406,0.60796,0.85285,0.4121
0.67454,0.87546,0.94108,0.61198,0.85534,0.41493
0.67488,0.87546,0.94118,0.61278,0.85584,0.4155
0.67888,0.87546,0.94229,0.62215,0.86155,0.422
0.68269,0.87546,0.94334,0.63126,0.86701,0.42823
0.70079,0.87546,0.94566,0.65852,0.87546,0.45851
0.71161,0.87546,0.9485,0.66849,0.87546,0.4752
0.71788,0.87546,0.94901,0.67391,0.87546,0.48426
0.7197,0.87546,0.94901,0.67544,0.87546,0.4868
0.73972,0.87547,0.94901,0.69218,0.87546,0.51369
0.74468,0.87551,0.94901,0.69622,0.87546,0.51991
0.74964,0.87555,0.94901,0.70031,0.87546,0.52614
0.75466,0.87554,0.94901,0.70446,0.87547,0.53236
0.77609,0.87546,0.94901,0.7226,0.87547,0.55868
0.78522,0.87546,0.94901,0.7307,0.87547,0.57
0.80015,0.87546,0.94901,0.74448,0.87547,0.58867
0.80218,0.87546,0.94901,0.7464,0.87547,0.59122
0.80331,0.87546,0.94901,0.74747,0.87547,0.59264
0.80511,0.87546,0.94901,0.74918,0.87547,0.5949
0.8062,0.87546,0.94901,0.75026,0.87547,0.59631
0.80971,0.87546,0.94901,0.75371,0.87547,0.60084
0.81235,0.87546,0.94901,0.75632,0.87547,0.60424
0.81674,0.87546,0.94901,0.76069,0.87547,0.6099
0.82418,0.87546,0.95043,0.76839,0.87547,0.6198
0.83832,0.87546,0.95184,0.78346,0.87547,0.63904
0.83976,0.87546,0.95184,0.78501,0.87547,0.64102
0.84463,0.87548,0.95184,0.79032,0.87547,0.64781
0.8528,0.87555,0.95184,0.79936,0.87547,0.65942
0.85719,0.87554,0.95184,0.80417,0.87548,0.66564
0.85799,0.87553,0.95184,0.80504,0.87548,0.66678
0.85958,0.87551,0.95184,0.80679,0.87547,0.66904
0.87255,0.87546,0.95184,0.82081,0.87547,0.68744
0.89031,0.87546,0.9519,0.83899,0.87547,0.71177
0.89292,0.87546,0.95248,0.84151,0.87547,0.71517
0.90894,0.87546,0.95467,0.85656,0.87547,0.73554
0.91833,0.87546,0.95431,0.86494,0.87547,0.74686
0.92506,0.87546,0.95301,0.87064,0.87547,0.7545
0.9293,0.87546,0.95219,0.87425,0.87547,0.75931
0.94384,0.87546,0.95184,0.88634,0.87547,0.77516
0.96454,0.87546,0.95708,0.90379,0.87547,0.79723
0.97483,0.87546,0.95515,0.91303,0.87546,0.80855
0.97741,0.87379,0.95443,0.91653,0.87545,0.81266
0.97762,0.84918,0.95184,0.93585,0.87263,0.83464
0.97762,0.84476,0.9519,0.94045,0.87126,0.84002
0.97755,0.83976,0.95368,0.94706,0.86881,0.84757
